1000	1
2000	1
3000	2
4000	2
5000	2
6000	3
7000	3
8000	3
9000	4
10000	4
11000	5
12000	5
13000	5
14000	6
15000	7
16000	7
17000	6
18000	7
19000	8
20000	12
21000	14
22000	10
23000	10
24000	14
25000	13
26000	13
27000	12
28000	12
29000	14
30000	15
31000	19
32000	20
33000	18
34000	18
35000	20
36000	19
37000	24
38000	25
39000	20
40000	20
41000	19
42000	22
43000	22
44000	31
45000	27
46000	24
47000	25
48000	22
49000	24
50000	24
51000	26
52000	28
53000	28
54000	30
55000	30
56000	30
57000	30
58000	30
59000	34
60000	40
61000	43
62000	35
63000	32
64000	39
65000	33
66000	34
67000	34
68000	35
69000	37
70000	43
71000	38
72000	35
73000	36
74000	40
75000	36
76000	36
77000	38
78000	38
79000	43
80000	41
81000	41
82000	41
83000	43
84000	44
85000	42
86000	43
87000	50
88000	47
89000	45
90000	44
91000	52
92000	47
93000	46
94000	49
95000	50
96000	48
97000	48
98000	60
99000	53
100000	50
