1000	2
2000	6
3000	12
4000	22
5000	31
6000	44
7000	62
8000	77
9000	100
10000	125
11000	149
12000	173
13000	204
14000	250
15000	262
16000	290
17000	329
18000	367
19000	407
20000	453
21000	495
22000	545
23000	594
24000	648
25000	733
26000	780
27000	826
28000	880
29000	947
30000	1021
31000	1078
32000	1151
33000	1226
34000	1305
35000	1375
36000	1453
37000	1536
38000	1639
39000	1722
40000	1799
41000	1885
42000	1986
43000	2076
44000	2210
45000	2311
46000	2406
47000	2503
48000	2624
49000	2730
50000	2892
51000	3026
52000	3179
53000	3223
54000	3385
55000	3453
56000	3579
57000	3732
58000	3836
59000	3948
60000	4086
61000	4225
62000	4382
63000	4535
64000	5360
65000	7381
66000	4915
67000	5092
68000	5263
69000	5444
70000	5562
71000	5919
72000	5919
73000	6114
74000	6269
75000	6424
76000	6595
77000	6768
78000	6932
79000	7147
80000	8323
81000	10853
82000	7633
83000	7876
84000	8063
85000	8256
86000	8428
87000	8627
88000	8825
89000	9026
90000	9202
91000	9452
92000	9626
93000	9869
94000	14459
95000	10182
96000	14332
97000	10746
98000	10986
99000	11175
100000	11433
