1000	2
2000	8
3000	18
4000	32
5000	45
6000	74
7000	107
8000	151
9000	205
10000	244
11000	313
12000	398
13000	404
14000	465
15000	536
16000	637
17000	730
18000	799
19000	966
20000	1098
21000	1119
22000	1251
23000	1364
24000	1479
25000	1608
26000	1726
27000	1840
28000	2035
29000	2221
30000	2380
31000	2563
32000	2661
33000	3063
34000	2980
35000	3207
36000	3413
37000	3693
38000	4007
39000	4366
40000	4881
41000	4757
42000	4600
43000	10256
44000	8742
45000	5535
46000	5926
47000	6085
48000	6569
49000	6614
50000	8628
51000	15261
52000	9245
53000	7711
54000	8302
55000	8745
56000	8824
57000	9257
58000	11874
59000	18601
60000	9680
61000	10188
62000	10621
63000	17409
64000	11325
65000	11922
66000	12467
67000	13006
68000	12645
69000	12964
70000	13417
71000	17615
72000	13776
73000	14577
74000	17730
75000	14976
76000	16244
77000	19870
78000	16617
79000	16971
80000	24058
81000	17314
82000	23157
83000	22334
84000	19887
85000	26355
86000	24256
87000	21320
88000	21810
89000	22984
90000	25257
91000	23182
92000	24234
93000	22204
94000	25352
95000	27134
96000	45917
97000	27996
98000	32759
99000	36798
100000	33600
