1000	0
2000	0
3000	1
4000	2
5000	2
6000	3
7000	3
8000	4
9000	5
10000	5
11000	7
12000	8
13000	8
14000	7
15000	9
16000	9
17000	11
18000	10
19000	10
20000	11
21000	12
22000	12
23000	16
24000	15
25000	14
26000	14
27000	15
28000	15
29000	16
30000	16
31000	16
32000	17
33000	18
34000	18
35000	19
36000	19
37000	19
38000	22
39000	25
40000	29
41000	25
42000	23
43000	25
44000	28
45000	27
46000	31
47000	27
48000	27
49000	28
50000	29
51000	29
52000	29
53000	32
54000	31
55000	32
56000	36
57000	36
58000	35
59000	39
60000	44
61000	38
62000	42
63000	42
64000	40
65000	40
66000	39
67000	49
68000	41
69000	39
70000	38
71000	37
72000	40
73000	41
74000	40
75000	39
76000	42
77000	44
78000	43
79000	45
80000	46
81000	47
82000	47
83000	47
84000	49
85000	48
86000	48
87000	50
88000	58
89000	55
90000	53
91000	58
92000	54
93000	49
94000	53
95000	54
96000	55
97000	53
98000	57
99000	56
100000	55
