1000	5
2000	13
3000	16
4000	28
5000	44
6000	61
7000	78
8000	104
9000	127
10000	144
11000	184
12000	215
13000	238
14000	327
15000	340
16000	3901
17000	425
18000	459
19000	521
20000	539
21000	604
22000	672
23000	701
24000	758
25000	804
26000	868
27000	939
28000	992
29000	1083
30000	1150
31000	1217
32000	1294
33000	1420
34000	1459
35000	1542
36000	1634
37000	1729
38000	1813
39000	1926
40000	2011
41000	2119
42000	2227
43000	2350
44000	2430
45000	2553
46000	2654
47000	2801
48000	2899
49000	3059
50000	3180
51000	3282
52000	3414
53000	3549
54000	3674
55000	3798
56000	3980
57000	4127
58000	4239
59000	4425
60000	4565
61000	4681
62000	4839
63000	5032
64000	5155
65000	5344
66000	5466
67000	5669
68000	5861
69000	6057
70000	6433
71000	6474
72000	6574
73000	6760
74000	6968
75000	7228
76000	7360
77000	7748
78000	8150
79000	8110
80000	8184
81000	15463
82000	8936
83000	9416
84000	9895
85000	12523
86000	9907
87000	9642
88000	9876
89000	10448
90000	10858
91000	10774
92000	11352
93000	11500
94000	11994
95000	11667
96000	11927
97000	12308
98000	12362
99000	13022
100000	13017
